અ
અંકુડા
અંકુડુ
અંકુર
અંકુરક
અંકુરકોશ
અંકુરકોષ
અંકુરછિદ્ર
અંકુરણ
અંકુરવિદ્યા
અંકુરવું
અંકુરા
અંકુરાગ્ર
અંકુરાર્પણ
અંકુરિણી
અંકુરિત
અંકુરિત યવ
અંકુરિતયૌવના
અંકુરીભવન
અંકુરો
અંકુરોત્પત્તિ
અંકુરોદ્ભવ
અંકુરોદ્રગમ
અંકુલ
અંકુશ
અંકુશંક
અંકુશગ્રહ
અંકુશદંતા
અંકુશદુર્ધર
અંકુશધારી
અંકુશપ્રવર્દ્ધન
અંકુશપ્રસર
અંકુશમુદ્રા
અંકુશવું
અંકુશિત
અંકુશી
અંકુસ
અંકુસી
અંકૂલ
અંકૂલંગ
અંકૂલિયા
અંકૂલી
અંકૂષ
અંકે
અંકેશાયિની
અંકોટ
અંકોટક
અંકોટસાર
અંકોઠ
અંકોઠવટક
અંકોઠસાર
અંકોડા
અંકોડાબંધ
અંકોડાબદ્ધ
અંકોડિયું
અંકોડી
અંકોડો
અંકોઢ
અંકોર
અંકોર
અંકોરી
અંકોરો
અંકોલ
અંકોલક
અંકોલસાર
અંકોલિકા
અંકોલું
અંકોશ
અંકોશવું
અંકોહર
અંક્
અંક્ય
અંખ
અંખડી
અંખરી
અંખવું
અંખાળ
અંખિયાં
અંખીયન
અંખ્
અંગ
અંગઉદ્ધાર
અંગઉધાર
અંગઉપાંગ
અંગઉમંગ
અંગઔરવ
અંગક
અંગકંપ
અંગકર્મ
અંગકલ્લોલ
અંગકસરત
અંગકાંતિ
અંગકાઠી
અંગક્રિયા
અંગગરમી
અંગગ્રંથ
અંગગ્રહ
અંગગ્લાનિ
અંગઘાત
અંગચપળતા
અંગચાપલ્ય
અંગચાલન
અંગચિંતન
અંગચેષ્ટા
અંગછેદ
અંગછેદન
અંગજ
અંગજનુ
અંગજન્મા
અંગજા
અંગજાઈ
અંગજાત
અંગજાતા
અંગજોર
અંગજ્ઞાન
અંગજ્વર
અંગડખંગડ
અંગડાઈ
અંગડાવું
અંગડું
અંગડ્ડિયા
અંગડ્યા
અંગઢાંકણ
અંગણ
અંગણવાટિકા
અંગણા
અંગણાઈ
અંગણિ
અંગત
અંગત બચાવ
અંગત માહિતી
અંગત વ્યથા
અંગત સ્વચ્છતા
અંગત હાનિ
અંગત હુકમનામું
અંગતઝડતી
અંગતદૃષ્ટિ
અંગતિ
અંગતી
અંગત્ર
અંગત્રાણ
અંગદ
અંગદકૂદકો
અંગદનીતિ
અંગદવિષ્ટિ
અંગદશિષ્ટાઈ
અંગદા
અંગદાન
અંગદાહ
અંગદીયા
અંગદ્વાર
અંગદ્વીપ
અંગધારી
અંગન
અંગનવા
અંગના
અંગના
અંગનાગણ
અંગનાપ્રિય
અંગનાપ્રિયા
અંગનું
અંગનુછણા
અંગન્યાસ
અંગપરિવર્તન
અંગપાક
અંગપાલક
અંગપાલિ
અંગપાલિકા
અંગપીડ
અંગપીડા
અંગપુરી
અંગપૂજા
અંગપૂર્ણ ચિહ્ન
અંગપ્રતિચારિકા
અંગપ્રત્યંગ
અંગપ્રાયશ્ચિત
અંગપ્રોક્ષણ
અંગફાસ
અંગબંધારણ
અંગબલ
અંગબળ
અંગબળવર્ધક
અંગબાડ
અંગબીન
અંગભંગ
અંગભંગિ
અંગભંગી
અંગભંજણ
અંગભાવ
અંગભૂ
અંગભૂત
અંગભૂત
અંગભેદ
અંગભ્રાંતિ
અંગમંત્ર
અંગમગધ
અંગમરોડ
અંગમર્દ
અંગમર્દક
અંગમર્દન
અંગમર્દિકા
અંગમર્દી
અંગમલજ
અંગમવું
અંગમહેનત
અંગમાપક
અંગમાર્જન
અંગમાર્દવ
અંગમેજયત્વ
અંગમોડા
અંગયજ્ઞ
અંગયષ્ટિ
અંગયા
અંગયાગ
અંગયાતના
અંગરંગ
અંગરક્ત
અંગરક્ષ
અંગરક્ષક
અંગરક્ષણ
અંગરક્ષણી
અંગરક્ષા
અંગરક્ષિણી
અંગરખ
અંગરખા
અંગરખી
અંગરખુ
અંગરખું
અંગરખો
અંગરસ
અંગરાગ
અંગરાજ
અંગરાપાન
અંગરી
અંગરીખા
અંગરુહ
અંગરુહા
અંગરેચી
અંગરેજ
અંગરેજી
અંગરેઝ
અંગરેઝણ
અંગરેઝી
અંગરો
અંગરોગ
અંગરોગી
અંગરોમ
અંગલ
અંગલગુ
અંગલચક
અંગલડી
અંગલતિકા
અંગલિપિ
અંગલિસ્તાન
અંગલી
અંગલીશ
અંગલુબ્ધ
અંગલૂછણું
અંગલૂછો
અંગલૂહણ
અંગલૂહણું
અંગલેખા
અંગલેટ
અંગલેપ
અંગલેપન
અંગલૌકિક
અંગળોઈ
અંગવ
અંગવર્ણ
અંગવર્ધન
અંગવસ્ત્ર
અંગવાક્ય
અંગવાટા
અંગવાર
અંગવારા
અંગવિકલ
અંગવિકલતા
અંગવિકાર
અંગવિકૃતિ
અંગવિક્ષેપ
અંગવિચાર
અંગવિચ્છેદ
અંગવિજ્ઞાન
અંગવિદ્યા
અંગવિન્યાસ
અંગવિભ્રંશ
અંગવિભ્રમ
અંગવિલાસ
અંગવિસ્તાર
અંગવીર
અંગવૃદ્ધિ
અંગવૈકલ્ય
અંગવૈકૃત
અંગશુદ્ધિ
અંગશુષ્કતાવાયુરોગ
અંગશૂળ
અંગશૈથિલ્ય
અંગશોભનક્રિયા
અંગશોષ
અંગસ
અંગસંગ
અંગસંચલન
અંગસંચાલ
અંગસંચાલન
અંગસંપેખ
અંગસંભૂત
અંગસંસ્કાર
અંગસંસ્કારક
અંગસંસ્ક્રિયા
અંગસંહતિ
અંગસખ્ય
અંગસમાધિ
અંગસિહરી
અંગસેવક
અંગસૌષ્ઠવ
અંગસ્કંધ
અંગસ્થિતિ
અંગસ્પર્શ
અંગસ્ફુરણા
અંગસ્વભાવ
અંગસ્વામી
અંગસ્વેદ
અંગહર્ષ
અંગહાનિ
અંગહાર
અંગહારક
અંગહિંડોળ
અંગહીણ
અંગહીન
અંગહીનતા
અંગા
અંગાંગ
અંગાંગિ
અંગાંગિભાવ
અંગાંગિસંબંધ
અંગાઉ
અંગાકડી
અંગાકૃષ્ટિ
અંગાક્ષેપ
અંગાખરી
અંગાખરૂં
અંગાદાન
અંગાધિપ
અંગાધીશ
અંગાધીશ્વર
અંગાપૂર્વ
અંગામી
અંગાર
અંગાર તુંગુસ્ક
અંગારએકપ્રાણિલ
અંગારક
અંગારકચાર
અંગારકતૈલ
અંગારકદિન
અંગારકપ્રાણિલ
અંગારકમણિ
અંગારકર્મ
અંગારકર્ષિણી
અંગારકવાયુ
અંગારકવાસર
અંગારકા
અંગારકામ્લ
અંગારકામ્લવાયુ
અંગારકારી
અંગારકીચતુર્થી
અંગારકીચોથ
અંગારકીસંકષ્ટચતુર્થી
અંગારકુષ્ઠક
અંગારકોઠી
અંગારખું
અંગારજીવિકા
અંગારડબી
અંગારતૈલ
અંગારદાન
અંગારદાહ
અંગારદ્વિગંધકિલ
અંગારદ્વિપ્રાણિલ
અંગારધાનિ
અંગારધાનિકા
અંગારધાની
અંગારપરિપાચિત
અંગારપર્ણ
અંગારપાચિત
અંગારપાત્રી
અંગારપુષ્પ
અંગારપ્રતાપના
અંગારપ્રસ્તર
અંગારપ્રસ્તરક્રમ
અંગારપ્રસ્તરયુગ
અંગારમંજરી
અંગારમંજી
અંગારમણિ
અંગારમતી
અંગારમલિન
અંગારલામ્લ
અંગારવલ્લરી
અંગારવલ્લિકા
અંગારવલ્લી
અંગારવાયુ
અંગારવાહિકા
અંગારવું
અંગારવૃક્ષ
અંગારવૃષ્ટિ
અંગારવેણુ
અંગારશકટી
અંગારસદૃશ
અંગારહર
અંગારા
અંગારામ્લ
અંગારામ્લબાષ્પ
અંગારાવક્ષેપણ
અંગારિ
અંગારિકા
અંગારિકા ચતુર્થી
અંગારિણી
અંગારિત
અંગારિતા
અંગારિયું
અંગારિલ
અંગારી
અંગારીઆ
અંગારીઉં
અંગારીય
અંગારો
અંગાલેખક
અંગાવરણ
અંગિ
અંગિક
અંગિકા
અંગિકાભિનય
અંગિત
અંગિયા
અંગિયું
અંગિયો
અંગિર
અંગિરસ
અંગિરસ પ્રચેતસ
અંગિરસાંવર
અંગિરા
અંગિરાસ્મૃતિ
અંગી
અંગીઉં
અંગીઓ
અંગીકરણ
અંગીકરવું
અંગીકાર
અંગીકારપત્ર
અંગીકારવિસ્તૃતિ
અંગીકારવું
અંગીકાર્ય
અંગીકૃત
અંગીકૃતક્રમ
અંગીકૃતપ્રજા
અંગીકૃતપ્રતિનિધિ
અંગીકૃતવિભાગ
અંગીકૃતસત્ય
અંગીકૃતિ
અંગીક્રત
અંગીચંગી
અંગીજન
અંગીઠા
અંગીઠી
અંગીઠું
અંગીઠો
અંગીભૂત
અંગીરસ
અંગીરા
અંગીલા
અંગીલું
અંગીષટ
અંગુ
અંગુચિઠ્ઠી
અંગુચો
અંગુછો
અંગુઠાદાવ
અંગુઠી
અંગુઠીઆ
અંગુઠો
અંગુત્તર
અંગુત્તરનિકાય
અંગુર
અંગુરિ
અંગુરિયાવેલ
અંગુરી
અંગુરીય
અંગુરીયક
અંગુલ
અંગુલચર
અંગુલતા
અંગુલાસંખ્યાત
અંગુલાસંખ્યેય
અંગુલાસ્થિ
અંગુલિ
અંગુલિ અસ્થિ
અંગુલિ પ્રસર
અંગુલિકા
અંગુલિકોષ
અંગુલિગ
અંગુલિગ્રંથી
અંગુલિતંત્ર
અંગુલિતોરણ
અંગુલિત્ર
અંગુલિત્રાણ
અંગુલિદર્શન
અંગુલિનિર્દેશ
અંગુલિપંચક
અંગુલિપર્વ
અંગુલિપાર્શ્વિકા
અંગુલિપીડિત
અંગુલિફોડણ
અંગુલિમાલ
અંગુલિમુખ
અંગુલિમુદ્રા
અંગુલિમુદ્રિકા
અંગુલિમૂલ
અંગુલિમેલનની ગત
અંગુલિમોટન
અંગુલિયક
અંગુલિવિવર
અંગુલિવેષ્ટન
અંગુલિસંકેત
અંગુલિસંજ્ઞા
અંગુલિસંદેશ
અંગુલિસંભૂત
અંગુલિસ્ફોટન
અંગુલી
અંગુલી અંગુષ્ઠ નાડી
અંગુલી નલકાની
અંગુલીક
અંગુલીતાડન
અંગુલીત્રાણ
અંગુલીત્રાણક
અંગુલીદ્વયમધ્યવર્તી
અંગુલીનળક
અંગુલીનિર્દેશ
અંગુલીપ્રવર્ત્તક
અંગુલીપ્રસારણીદીર્ધા
અંગુલીપ્રસારણીસાધારણીપેશી
અંગુલીમુદ્રા
અંગુલીમેલ
અંગુલીય
અંગુલીયક
અંગુલીયલિપિ
અંગુલીવિદ્રધિ
અંગુલીશૂલ
અંગુલીસંકોચનીઅગ્રપર્વિકા
અંગુલીસંકોચનીમધ્યપર્વિકા
અંગુલીસંજ્ઞા
અંગુલ્યગ્ર
અંગુલ્યસ્થિ
અંગુલ્યાદેશ
અંગુલ્યાનિર્દેશ
અંગુળ
અંગુળી
અંગુશ્ત
અંગુશ્તનુમા
અંગુશ્તનુમાઈ
અંગુશ્તનુમાનીગત
અંગુશ્તપેચદાવનીગત
અંગુશ્તરી
અંગુશ્તાન
અંગુશ્તાના
અંગુશ્તેશહાદત
અંગુષ્ટમાત્ર
અંગુષ્ટા
અંગુષ્ઠ
અંગુષ્ઠ બહિર્નાયની દીર્ઘા
અંગુષ્ઠ બહિર્નાયની હ્સ્વા
અંગુષ્ઠ સંકોચિની લઘ્વી
અંગુષ્ઠઉન્નત
અંગુષ્ઠજાપિની
અંગુષ્ઠદર્શકનીગત
અંગુષ્ઠપરિમાણ
અંગુષ્ઠપૃષ્ઠિકા
અંગુષ્ઠપ્રમાણ
અંગુષ્ઠપ્રવર્તક
અંગુષ્ઠપ્રસારણી
અંગુષ્ઠપ્રસારણીદીર્ઘા
અંગુષ્ઠપ્રસારણીહ્સ્વા
અંગુષ્ઠમાત્ર
અંગુષ્ઠમુદ્રા
અંગુષ્ઠમૂલગા
અંગુષ્ઠય
અંગુષ્ઠસંકોચનીદીર્ઘા
અંગુષ્ઠસંકોચનીહ્સ્વા
અંગુષ્ઠાંકન
અંગુષ્ઠાપકર્ષણીદીર્ઘા
અંગુષ્ઠાપકર્ષણીહ્સ્વા
અંગુષ્ઠામૂલગા
અંગુષ્ઠાસન
અંગુષ્ઠીયા વિશેષા ધમની
અંગુસા
અંગુસ્તાન
અંગુસ્થલ
અંગૂચો
અંગૂછો
અંગૂઝા
અંગૂઠ
અંગૂઠડી
અંગૂઠા
અંગૂઠાદાવ
અંગૂઠાપટી
અંગૂઠિયું
અંગૂઠી
અંગૂઠો
અંગૂર
અંગૂરરસ ચિકિત્સા
અંગૂરશેફા
અંગૂરી
અંગૂરીબાઘ
અંગૂરીસરકો
અંગૂરીસિરકા
અંગૂલા
અંગૂષ
અંગૂષ્ઠમૂલકર્ષણી
અંગે
અંગેઅંગ
અંગેઉષ
અંગેઝ
અંગેઝણી
અંગેઝી
અંગેટ
અંગેટી
અંગેઠી
અંગેઠું
અંગેશ્વર
અંગોઅંગ
અંગોઈ
અંગોછા
અંગોછી
અંગોછો
અંગોઠી
અંગોઠીડી
અંગોત્પત્તિવૃત્ત
અંગોપાંગ
અંગોપાંગનામ
અંગોપાંગીભાવ
અંગોર
અંગોરા
અંગોરિષ્ઠ
અંગોરી
અંગોલા
અંગોળ
અંગોળડી
અંગોળણ
અંગોહલિ
અંગૌંગા
અંગૌરિયા
અંગ્
અંગ્રેજ
અંગ્રેજી
અંગ્રેજીકરણ
અંગ્રેજીખોર
અંગ્રેજીહિંદી
અંગ્રેઝ
અંગ્રેઝન
અંગ્રેઝી
અંગ્રેઝી દાન
અંગ્રેઝીખાન
અંગ્રેમન્યુ
અંઘડા
અંઘસ
અંઘાઈ
અંઘાડી
અંઘાડો
અંઘામ
અંઘામો
અંઘિયા
અંઘીસરકાર
અંઘુલ
અંઘેડો
અંઘોલણ
અંઘોળ
અંઘોળડી
અંઘોળવું
અંઘોળિયું
અંઘોળિયો
અંઘ્રિ
અંઘ્રિકમલ
અંઘ્રિતલ
અંઘ્રિપ
અંઘ્રિપદ્મ
અંઘ્રિપર્ણિકા
અંઘ્રિપર્ણી
અંઘ્રિપાન
અંઘ્રિયુગલ
અંઘ્રિવલ્લિકા
અંઘ્રિવલ્લી
અંચ
અંચઈ
અંચકાવું
અંચરવા
અંચરા
અંચલ
અંચલબંધ
અંચલવતી
અંચલા
અંચલાન્વિત
અંચલો
અંચળ
અંચળગચ્છ
અંચળવો
અંચળો
અંચા
અંચિત
અંચિતપત્ર
અંચિતભ્રુ
અંચિતભ્રૂ
અંચિતાગ્રા
અંચી
અંચોઈ
અંચોળો
અંચ્
અંછર
અંછા
અંછુ
અંછ્યા
અંજ
અંજક
અંજણ
અંજણબાવરું
અંજન
અંજનક
અંજનકારી
અંજનકી
અંજનકેશ
અંજનકેશી
અંજનગિરિ
અંજનગુટી
અંજનત્રય
અંજનધાતુ
અંજનનામિકા
અંજનપર્વ
અંજનપર્વા
અંજનપુલક
અંજનપ્રભા
અંજનભેરવરસ
અંજનમૂલક
અંજનયુક્ત
અંજનયોગ
અંજનરંજિત
અંજનરાજ
અંજનરેખા
અંજનવતી
અંજનવર્ણ
અંજનવિદ્યા
અંજનશલાકા
અંજનસાર
અંજનસિદ્ધ
અંજનહારી
અંજના
અંજનાગિરિ
અંજનાદ્રિ
અંજનાધિકા
અંજનાનંદન
અંજનાપુત્ર
અંજનાભ
અંજનાર્થશલાકા
અંજનાવતી
અંજનાસુત
અંજનિકા
અંજની
અંજની અંગુલી
અંજની જાળ
અંજનીગીત
અંજનીજ
અંજનીપુત્ર
અંજનીસુત
અંજનોપચાર
અંજબાર
અંજબીન
અંજરપંજર
અંજલ
અંજલા
અંજલિ
અંજલિક
અંજલિકર્મ
અંજલિકા
અંજલિકારક
અંજલિકારિકા
અંજલિગત
અંજલિપુટ
અંજલિબંધન
અંજલિબદ્ધ
અંજલી
અંજલીઈ
અંજળ
અંજળપાણી
અંજળિ
અંજળી
અંજવાળી
અંજવાળું
અંજવાશિયું
અંજવાસ
અંજવાસવું
અંજસ
અંજસ
અંજસા
અંજાણ્યું
અંજાનઆંક
અંજામ
અંજામણ
અંજામણી
અંજામા
અંજામી
અંજાર
અંજારિયા
અંજાવવું
અંજાવું
અંજિત
અંજિષ્ઠ
અંજિષ્ણુ
અંજી
અંજીર
અંજીરિયું
અંજીરી
અંજીરીઆં
અંજીલ
અંજુબાર
અંજુમ
અંજુમન
અંજુમન-જસ્ત-ઇસ્તેદ
અંજુમનરજિસ્ટ્રાર
અંજુમનેમકામી
અંજુરી
અંજુર્લી
અંજુલી
અંજ્
અંઝા
અંટ
અંટવાણ
અંટવાવું
અંટવું
અંટસ
અંટસંટ
અંટસિયું
અંટા
અંટાકોડી
અંટાઘર
અંટાચિત
અંટાબંધૂ
અંટાળા
અંટાવવું
અંટાવું
અંટી
અંટીવાળવું
અંટેવાળ
અંટેવાળી
અંટો
અંટોળ
અંટોળકાટલું
અંટોળો
અંઠઈ
અંઠલી
અંઠૈ
અંડ
અંડઉપાંડખાત
અંડક
અંડકટાહ
અંડકવચ
અંડકવેષ્ટ
અંડકા
અંડકોશ
અંડકોશાર્બુદ
અંડકોષ
અંડકોષક
અંડકોષચ્છેદ
અંડકોષપ્રદાહ
અંડકોષવાહિની
અંડકોષવૃદ્ધિ
અંડકોષવેદના
અંડકોષશોથ
અંડકોષાર્બુદ
અંડકૌસ્તુભ
અંડખરબૂજા
અંડગુલ્મ
અંડગોલ
અંડગ્રંથિ
અંડચ્છદકોષ
અંડજ
અંડજગ્રાહી
અંડજનક
અંડજા
અંડજાત
અંડત્રાસ
અંડદાળ
અંડધર
અંડધરપુટક
અંડધારક રજ્જુ
અંડનલિકા
અંડનળી
અંડપિત્ત
અંડપિત્તકોષ
અંડપિત્તજનક
અંડપિત્તપુટ
અંડપુટ
અંડપ્રદ
અંડપ્રસવ
અંડપ્રસૂ
અંડફલન
અંડબંડ
અંડબંધનિ
અંડભવ
અંડભવિક
અંડભિત્તિ
અંડમાપક
અંડમાર્ગ
અંડમિતિ
અંડયુગ
અંડયોનિ
અંડરએક્સ્પોઝર
અંડરગ્રાઉંડ
અંડરગ્રેજ્યુએટ
અંડરચાર્જ
અંડરજ્જુ
અંડરસ
અંડરસેક્રેટરી
અંડરુહા
અંડળ
અંડળગંડળ
અંડળો
અંડવર્દ્ધન
અંડવર્ધન
અંડવાઈ
અંડવાહ
અંડવાહક
અંડવાહનલિકા
અંડવાહિની
અંડવિદ્યા
અંડવિભાજન
અંડવૃત્તાલેખક
અંડવૃત્તીય
અંડવૃત્તીયતા
અંડવૃદ્ધિ
અંડવૃદ્ધિહર
અંડવૃદ્ધિહરરસ
અંડવેત્તા
અંડશોથ
અંડશોફ
અંડશ્વેત
અંડસારિણી
અંડસૂ
અંડા
અંડાકાર
અંડાકાર ખાત
અંડાકાર છિદ્ર
અંડાકાર રંધ્ર
અંડાકારી
અંડાકૃતિ
અંડાગંડા
અંડાગાર
અંડાર્બુદ
અંડાલુ
અંડાવરકશ્વેતઝિલ્લી
અંડાવસ્થા
અંડાશય
અંડાશ્મ
અંડિની
અંડિયાવું
અંડિયું
અંડી
અંડીર
અંડુવારી
અંડૂસ
અંડેલ
અંડૈલ
અંડોત્થાપિકા પ્રતિક્રિયા
અંડોદર
અંડોલન
અંડોળ
અંડોળગંડોળ
અંડોળવું
અંઢગંઢ
અંત
અંત અગ્ર ઉરસ્થા નાડી
અંત:અંકગંભીર
અંત:આવરણ
અંત:ઉપાંગીયા ધમની
અંત:કંઠ
અંત:કટિપર્શુકા મહરાબ
અંત:કટીર
અંત:કરણ
અંત:કરણરૂપઉપશમ
અંત:કર્ણ
અંત:કર્ણ મુખ
અંત:કર્ણકોટરગ્રંથિનાડી
અંત:કર્ણકોટરનાડી
અંત:કવચ
અંત:કુટિલપિંડ
અંત:ક્ષેપ
અંત:ગૌલ્ફી ધમની
અંત:ચર્મ
અંત:જનનેંદ્રિય
અંત:તલપૃષ્ઠ
અંત:ત્રિપાર્શ્બિકા
અંત:દ્રવ પ્રવહણ
અંત:દ્વિખંડ
અંત:દ્વિપત્ર
અંત:પર્શુકાંતરિકા પેશી
અંત:પાશ્વિક
અંત:પુરિકા
અંત:પ્રકોષ્ઠિકા ધમની
અંત:પ્રકોષ્ઠિકા નાડી પરિખા
અંત:પ્રકોષ્ઠિકા મહાશિરા
અંત:પ્રકોષ્ઠિકા શિરા
અંત:પ્રગંડીયા શિરા
અંત:પ્રપાદ ધમની
અંત:પ્રવાહ
અંત:પ્રાવરણી
અંત:ફલ
અંત:મણિકબંધન
અંત:મણિકા પુરોગા ધમની
અંત:લલાટ છિદ્ર
અંત:લિંગ
અંત:વિવર
અંત:શરીરવિજ્ઞાન
અંત:શિરોધીયા ધમની
અંત:શ્રોણિગા ધમની
અંત:શ્રોણિગા શિરા
અંત:શ્વસન
અંત:શ્વાસોચ્છવાસ
અંત:સ્તન
અંત:સ્તનવિદ્રધિ
અંત:સ્તનીયા ધમની
અંત:સ્થપર્શુકાંતરિકા
અંત:સ્પર્શ
અંત:સ્વભાવ
અંત:સ્વરૂપ
અંત:સ્વેદ
અંતઃ
અંતઃકરણગોપન
અંતઃકરણચતુષ્ટ્ય
અંતઃકરણદેવ
અંતઃકરણદોષ
અંતઃકરણપંચક
અંતઃકરણશુદ્ધિ
અંતઃકરણાધ્યાસ
અંતઃકલહ
અંતઃકલ્પ
અંતઃકુટિલ
અંતઃકૂર્ચિકા
અંતઃકૃમિ
અંતઃકેંદ્ર
અંતઃકોટરપુષ્પી
અંતઃકોણ
અંતઃકોણક
અંતઃકોપ
અંતઃકોશ
અંતઃક્રિયા
અંતઃક્રુદ્ધ
અંતઃક્ષોભ
અંતઃખેદ
અંતઃચક્ષુ
અંતઃપટ
અંતઃપટી
અંતઃપદવી
અંતઃપરિધાન
અંતઃપરિધિ
અંતઃપરીક્ષા
અંતઃપવિત્ર
અંતઃપવિત્રા
અંતઃપાત
અંતઃપાતી
અંતઃપાત્ર
અંતઃપાર્ષ્ણિગા
અંતઃપાલ
અંતઃપુર
અંતઃપુરચર
અંતઃપુરચારી
અંતઃપુરજન
અંતઃપુરરક્ષક
અંતઃપુરસહાય
અંતઃપુરાધ્યક્ષ
અંતઃપુરિક
અંતઃપુરી
અંતઃપુરુષ
અંતઃપુષ્પ
અંતઃપ્રકાશ
અંતઃપ્રકૃતિ
અંતઃપ્રકોપ
અંતઃપ્રકોપન
અંતઃપ્રકોષ્ઠાસ્થિ
અંતઃપ્રકોષ્ઠાસ્થિનો અંતર્મણિક
અંતઃપ્રકોષ્ઠિકા
અંતઃપ્રકોષ્ઠીયા ધમની
અંતઃપ્રજ્ઞ
અંતઃપ્રજ્ઞા
અંતઃપ્રજ્ઞાવાદી
અંતઃપ્રતિષ્ઠાન
અંતઃપ્રતીતિ
અંતઃપ્રદેશ
અંતઃપ્રમાણ
અંતઃપ્રવિષ્ટ
અંતઃપ્રવેશ
અંતઃપ્રવેશી
અંતઃપ્રવેશીખૂણો
અંતઃપ્રાંત
અંતઃપ્રાચીર
અંતઃપ્રેરણા
અંતઃપ્રેરિત
અંતઃમાત્ર
અંતઃરાષ્ટ્રીય
અંતઃશક્તિ
અંતઃશત્રુ
અંતઃશર
અંતઃશરીર
અંતઃશલ્ય
અંતઃશાસ્તા
અંતઃશિલા
અંતઃશુદ્ધ
અંતઃશુદ્ધિ
અંતઃશોક
અંતઃશોષ
અંતઃશૌચ
અંતઃશ્વાસ
અંતઃસંક્રાંત
અંતઃસંજ્ઞ
અંતઃસંજ્ઞા
અંતઃસંતાપ
અંતઃસંતુષ્ટ
અંતઃસંન્યાસ
અંતઃસત્ત્વ
અંતઃસત્ત્વા
અંતઃસરલ
અંતઃસલિલ
અંતઃસલિલવાહિની
અંતઃસાધન
અંતઃસાર
અંતઃસારવાન
અંતઃસુખ
અંતઃસુખી
અંતઃસ્તનિકા
અંતઃસ્થ
અંતઃસ્થયુદ્ધ
અંતઃસ્થલ
અંતઃસ્થળ
અંતઃસ્થા
અંતઃસ્થિત
અંતઃસ્થિતિ
અંતઃસ્પર્શી
અંતઃસ્પર્શીવર્તુલ
અંતઃસ્ફુરણ
અંતઃસ્ફુરણા
અંતઃસ્ફૂર્તિ
અંતઃસ્ફૂર્ત્તિ
અંતઃસ્રાવ
અંતઃસ્રાવપેશી
અંતઃસ્રાવી
અંતઃસ્રાવીરસ
અંતઅતીત
અંતક
અંતકંઠકર્ણ
અંતકંઠિય ચેતની
અંતકંઠિય નાડી
અંતકઉલ્લંઘન
અંતકડી
અંતકર
અંતકરણ
અંતકરાર
અંતકર્ણ
અંતકર્ત્તા
અંતકર્પૂરિકા શિરા
અંતકર્મ
અંતકર્મસંસ્કાર
અંતકારક
અંતકારી
અંતકાલ
અંતકાળ
અંતકાળિયું
અંતકાળિયો
અંતકુલ
અંતકૃત
અંતકૃતદશા
અંતકોષ
અંતક્રતંતુ
અંતક્રિયા
અંતગ
અંતગડ
અંતગડકેવલી
અંતગડદશાસૂત્ર
અંતગડદસા
અંતગડસૂત્ર
અંતગત
અંતગતિ
અંતગમન
અંતગામી
અંતઘડી
અંતઘાતી
અંતચર
અંતચાર
અંતચ્છેદ
અંતચ્છેદ
અંતજ
અંતજલ
અંતજીવી
અંતડિયાં
અંતડી
અંતત:
અંતતાળી
અંતત્વક્
અંતત્વગિયા
અંતદર્શન
અંતદીપક
અંતનિહાર
અંતપટ
અંતપત્ર
અંતપાદતલિક ધમની
અંતપાલ
અંતપાલક
અંતપાળ
અંતપાળક
અંતપ્રદેશ
અંતફલક
અંતભવ
અંતભાગ
અંતભાજ
અંતભેદી
