ઋ
ઋષિસર્ગ
ઋષિસ્તોમ
ઋષિસ્વર
ઋષી
ઋષીક
ઋષીકા
ઋષીતાલ
ઋષીશ
ઋષીશ્વર
ઋષુ
ઋષ્
ઋષ્ટિ
ઋષ્ટિક
ઋષ્ટિષેણ
ઋષ્ય
ઋષ્યક
ઋષ્યકેતન
ઋષ્યકેતુ
ઋષ્યગંધા
ઋષ્યગતા
ઋષ્યજિહ્વ
ઋષ્યપ્રોક્તા
ઋષ્યમૂક
ઋષ્યવાન
ઋષ્યશૃંગ
ઋષ્યશૃંગાશ્રમ
ઋષ્યાંક
ઋષ્યાદિ
ઋષ્યાશ્રમ
ઋષ્વ
ઋષ્વા
ઋહત
ઋહ્મંત્ર
ઋૃ
ઋૃભુ
ઋૃ૧
ઋૃ૨
